,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
631,2_54,Real,62.04274560102939,"[0.15864817903114484, 0.3505032242680322, 0.6680102596334744, 0.5107569355951977, 0]","[Client id: 2, ( id: 13, corrupt: False ), ( id: 96, corrupt: False ), ( id: 142, corrupt: False ), Client id: 8]"
632,0_62,Real,62.1639083493066,"[0.3571752867006106, 0.6068251831224848, 0.27235779114521763, 0.06865432541426075, 0]","[Client id: 0, ( id: 29, corrupt: False ), ( id: 69, corrupt: False ), ( id: 104, corrupt: False ), Client id: 3]"
633,4_70,Real,62.215755694519366,"[0.6042502442979156, 0.47986163455562714, 0.827522895270164, 0.18624789321886998, 0]","[Client id: 4, ( id: 10, corrupt: False ), ( id: 60, corrupt: False ), ( id: 129, corrupt: False ), Client id: 9]"
634,1_61,Real,62.3135846418754,"[1.78319738557404, 0.07775115514223839, 0.0955856004038007, 0.6513189000524404, 0]","[Client id: 1, ( id: 40, corrupt: False ), ( id: 56, corrupt: False ), ( id: 146, corrupt: False ), Client id: 2]"
635,8_53,Real,62.4753347213743,"[2.23024787558812, 0.07337110818276547, 0.14685776707702217, 0.018413278116186135, 0]","[Client id: 8, ( id: 32, corrupt: False ), ( id: 75, corrupt: False ), ( id: 146, corrupt: False ), Client id: 9]"
636,8_54,Real,62.49631167907334,"[0.02097695769903597, 0.0983523481012258, 0.3518263593538996, 0.04962170942680031, 0]","[Client id: 8, ( id: 19, corrupt: False ), ( id: 76, corrupt: False ), ( id: 142, corrupt: False ), Client id: 6]"
637,8_55,Real,62.53166998435628,"[0.03535830528293999, 0.0006557176434265901, 0.12242973668601462, 0.017771343803814683, 0]","[Client id: 8, ( id: 32, corrupt: False ), ( id: 89, corrupt: False ), ( id: 101, corrupt: False ), Client id: 3]"
638,5_80,Real,62.77904431024851,"[0.798111427012398, 0.08654018650225442, 0.13451451688542979, 0.3244541499088351, 0]","[Client id: 5, ( id: 49, corrupt: False ), ( id: 61, corrupt: False ), ( id: 143, corrupt: False ), Client id: 6]"
639,6_66,Real,62.816135809052625,"[1.0296621566777358, 0.02458501176014315, 0.1389505953350181, 0.6337490356673753, 0]","[Client id: 6, ( id: 15, corrupt: False ), ( id: 52, corrupt: False ), ( id: 105, corrupt: False ), Client id: 9]"
640,7_57,Real,62.96786104729593,"[1.065817258189317, 0.07082145358290844, 0.1723861402718815, 0.026032940398346232, 0]","[Client id: 7, ( id: 9, corrupt: False ), ( id: 61, corrupt: False ), ( id: 115, corrupt: False ), Client id: 5]"
641,7_58,Real,63.184093715774516,"[0.21623266847858377, 0.14515948963443098, 0.07825594218265627, 0.0018371743877344804, 0]","[Client id: 7, ( id: 20, corrupt: False ), ( id: 98, corrupt: False ), ( id: 148, corrupt: False ), Client id: 6]"
642,2_55,Real,63.19252075727427,"[1.149775156244885, 0.03351997508215988, 0.5613793962700564, 0.12902150312683225, 0]","[Client id: 2, ( id: 9, corrupt: False ), ( id: 96, corrupt: False ), ( id: 131, corrupt: False ), Client id: 9]"
643,1_62,Real,63.20164496321036,"[0.8880603213349615, 0.6347426098771213, 0.17617242457362267, 0.11941352886519153, 0]","[Client id: 1, ( id: 24, corrupt: False ), ( id: 69, corrupt: False ), ( id: 101, corrupt: False ), Client id: 7]"
644,9_56,Real,63.253006867565546,"[2.457277283393909, 0.05860947747283583, 0.4765464236745275, 0.9176191145542989, 0]","[Client id: 9, ( id: 16, corrupt: False ), ( id: 79, corrupt: False ), ( id: 124, corrupt: False ), Client id: 0]"
645,5_81,Real,63.29156755824708,"[0.5125232479985706, 0.4126912730742827, 0.09441533061755814, 0.22543697351622066, 0]","[Client id: 5, ( id: 20, corrupt: False ), ( id: 62, corrupt: False ), ( id: 118, corrupt: False ), Client id: 0]"
646,6_67,Real,63.338593462510296,"[0.5224576534576706, 0.3139711450841807, 0.7138760585264763, 0.8170262163050719, 0]","[Client id: 6, ( id: 19, corrupt: False ), ( id: 96, corrupt: False ), ( id: 148, corrupt: False ), Client id: 9]"
647,3_82,Real,63.50214801076288,"[1.4831792876199061, 0.029527530260485973, 0.13983618920207116, 0.1248147350566298, 0]","[Client id: 3, ( id: 23, corrupt: False ), ( id: 51, corrupt: False ), ( id: 125, corrupt: False ), Client id: 9]"
648,6_68,Real,63.54843274619633,"[0.2098392836860367, 0.029683097170719944, 0.37877193992638813, 0.05456830282179979, 0]","[Client id: 6, ( id: 29, corrupt: False ), ( id: 90, corrupt: False ), ( id: 109, corrupt: False ), Client id: 8]"
